Review number	Language	Hotel	Hotel stars	Hotel city	Hotel country	Reviewer	Reviewer location	Reviewer type	Positive	Negative	Rating
149	nl	grandhoteldechampagne	3	Parijs	fr	Trevor	newtownabbey, Verenigd Koninkrijk	Vriendengroep	\nVery good Hotel, it is right beside Chatelet Metro on the St Denis exit. Quiet street and inside it has many quaint features. Shower room and separate toilet was a good Surprize.\n	\nWe had nothing to complain about.\n	10.0
150	nl	grandhoteldechampagne	3	Parijs	fr	Olga	Moscow, Rusland	Jong stel	None	\nChanged our room after reservation and confirmation just a few days\nbefore out trip Very bad room service (room make-up not good, were\nforgetting to put new towels, removing old ones, some places didn&#39;t\nclean at all, thrown away a plastic bag that we required The room was\nvery small I strongly not recommend this hotel\n	3.3
151	nl	grandhoteldechampagne	3	Parijs	fr	Helen	APO, AE, Verenigde Staten	Gezin met oudere kinderen	\nLocation right off of aMetro stop\n	\nThe 5th floor room was reached by the stairs only when after checking in\nwe were told the lift was not working. The hotel refused to check to see\nif there were any other rooms on lower floors stating my booking didn&#39;t\nallow that.\nOnce we reached the room the we discovered an odor of &quot;moth balls&quot; and a window that was broken limiting the ability to clear the smell.  \rThe beds were terribly uncomfortable adding insult to injury.  I would Not recommend this hotel to anyone.\n	4.6
155	nl	grandhoteldechampagne	3	Parijs	fr	Alden	Bergrheinfeld, Duitsland	Gezin met jonge kinderen	\nThe rooms were beautiful, the staff were polite and very helpful. We traveled with our three children under the age of 4, and stayed our first night in a quadruple room and our second night in a triple room. The staff made check ins, transitions, and check out extremely easy. The breakfast offered was very good, and the location of the hotel was excellent. The Louvre is a short walk away, and Notre Dame is within sight at the corner of the street. We were also pleased to discover a small food shop around the corner where we could buy snacks for our children. If we return to Paris, we will definitely stay at the Grand Hotel Dechampaigne again.\n	None	10.0
162	nl	grandhoteldechampagne	3	Parijs	fr	Jan	Byron Bay, Australi\xc3\xab	Ouder stel	\nThis hotel is in an excellent location within easy walking distance to many attractions, transport, cafes, shops and the river. It has a lift (a bonus with suitcases); our room was beautifully appointed with en suite and comfortable bed; nice and quiet &amp; nice breakfasts. Staff very polite and helpful, with good English speaking skills. Recommended!\n	None	10.0
171	nl	grandhoteldechampagne	3	Parijs	fr	Gilbert	NIMES, Frankrijk	Ouder stel	\nNous avons appr\xc3\xa9ci\xc3\xa9 sa situation en plaine ville, son calme et son confort : bonne literie, sa d\xc3\xa9coration coquette, son personnel accueillant. Nous y reviendrons avec plaisir lors d&#39;une prochaine visite \xc3\xa0 Paris.\n	None	10.0
186	nl	grandhoteldechampagne	3	Parijs	fr	Jevgenia	J\xc3\xb5hvi, Estland	Gezin met oudere kinderen	\n\xd0\x9f\xd1\x80\xd0\xb8\xd0\xb2\xd0\xb5\xd1\x82\xd0\xbb\xd0\xb8\xd0\xb2\xd1\x8b\xd0\xb9 \xd0\xbf\xd0\xb5\xd1\x80\xd1\x81\xd0\xbe\xd0\xbd\xd0\xb0\xd0\xbb. \xd0\x9e\xd1\x82\xd0\xb4\xd0\xb5\xd0\xbb\xd1\x8c\xd0\xbd\xd0\xbe\xd0\xb5 \xd1\x81\xd0\xbf\xd0\xb0\xd1\x81\xd0\xb8\xd0\xb1\xd0\xbe \xd0\x9e\xd0\xbb\xd1\x8c\xd0\xb3\xd0\xb5 \xd0\xbd\xd0\xb0 \xd1\x80\xd0\xb5\xd1\x86\xd0\xb5\xd0\xbf\xd1\x88\xd0\xb8\xd0\xbd\xd0\xb5 .\xd0\xa5\xd0\xbe\xd1\x80\xd0\xbe\xd1\x88\xd0\xb5\xd0\xb5 \xd1\x80\xd0\xb0\xd1\x81\xd0\xbf\xd0\xbe\xd0\xbb\xd0\xbe\xd0\xb6\xd0\xb5\xd0\xbd\xd0\xb8\xd0\xb5 \xd0\xbe\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8f.10\xd0\xbc\xd0\xb8\xd0\xbd\xd1\x83\xd1\x82 \xd1\x85\xd0\xbe\xd0\xb4\xd1\x8c\xd0\xb1\xd1\x8b \xd0\xb4\xd0\xbe \xd0\x9b\xd1\x83\xd0\xb2\xd1\x80\xd0\xb0 \xd0\xb8 \xd0\xa1\xd0\xbe\xd0\xb1\xd0\xbe\xd1\x80\xd0\xb0 \xd0\x9f\xd0\xb0\xd1\x80\xd0\xb8\xd0\xb6\xd1\x81\xd0\xba\xd0\xbe\xd0\xb9 \xd0\x91\xd0\xbe\xd0\xb3\xd0\xbe\xd0\xbc\xd0\xb0\xd1\x82\xd0\xb5\xd1\x80\xd0\xb8, \xd1\x80\xd1\x8f\xd0\xb4\xd0\xbe\xd0\xbc \xd0\xa1\xd0\xb5\xd0\xbd\xd0\xb0. \xd0\xa1\xd0\xbf\xd0\xb0\xd1\x81\xd0\xb8\xd0\xb1\xd0\xbe \xd0\xb7\xd0\xb0 \xd0\xb2\xd0\xba\xd1\x83\xd1\x81\xd0\xbd\xd1\x8b\xd0\xb9 \xd1\x8f\xd0\xb1\xd0\xbb\xd0\xbe\xd1\x87\xd0\xbd\xd1\x8b\xd0\xb9 \xd0\xbf\xd0\xb8\xd1\x80\xd0\xbe\xd0\xb3 \xd0\xbd\xd0\xb0 \xd0\xb7\xd0\xb0\xd0\xb2\xd1\x82\xd1\x80\xd0\xb0\xd0\xba \xd0\xb8 \xd1\x81\xd0\xb2\xd0\xb5\xd0\xb6\xd0\xb8\xd0\xb9 \xd0\xb0\xd0\xbf\xd0\xb5\xd0\xbb\xd1\x8c\xd1\x81\xd0\xb8\xd0\xbd\xd0\xbe\xd0\xb2\xd1\x8b\xd0\xb9 \xd1\x81\xd0\xbe\xd0\xba.\xd0\xa3\xd0\xbd\xd0\xb0\xd1\x81 \xd0\xb1\xd1\x8b\xd0\xbb \xd0\xbd\xd0\xbe\xd0\xbc\xd0\xb5\xd1\x80 \xd0\xb4\xd0\xbb\xd1\x8f 4 \xd1\x87\xd0\xb5\xd0\xbb\xd0\xbe\xd0\xb2\xd0\xb5\xd0\xba -\xd0\xba\xd0\xbe\xd0\xbc\xd1\x84\xd0\xbe\xd1\x80\xd1\x82\xd0\xbd\xd1\x8b\xd0\xb9 (2\xd1\x82\xd1\x83\xd0\xb0\xd0\xbb\xd0\xb5\xd1\x82\xd0\xb0, \xd0\xb4\xd1\x83\xd1\x88,  \xd0\xb2\xd0\xb0\xd0\xbd\xd0\xbd\xd0\xb0\xd1\x8f).\xd0\x9c\xd0\xb5\xd1\x81\xd1\x82\xd0\xbe \xd1\x811 \xd0\xb1\xd0\xbe\xd0\xbb\xd1\x8c\xd1\x88\xd0\xbe\xd0\xb9 \xd0\xba\xd1\x80\xd0\xbe\xd0\xb2\xd0\xb0\xd1\x82\xd1\x8c\xd1\x8e \xd0\xbc\xd0\xbe\xd0\xb6\xd0\xbd\xd0\xbe \xd0\xb1\xd1\x8b\xd0\xbb\xd0\xbe \xd0\xbe\xd1\x82\xd0\xb4\xd0\xb5\xd0\xbb\xd1\x8f\xd1\x82\xd1\x8c \xd1\x88\xd1\x82\xd0\xbe\xd1\x80\xd0\xb0\xd0\xbc\xd0\xb8.\xd0\x94\xd0\xb8\xd0\xb7\xd0\xb0\xd0\xb9\xd0\xbd \xd0\xbe\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8f \xd0\xbf\xd0\xbe\xd0\xb3\xd1\x80\xd1\x83\xd0\xb6\xd0\xb0\xd0\xb5\xd1\x82 \xd0\x92\xd0\xb0\xd1\x81 \xd0\xb2 \xd1\x81\xd1\x80\xd0\xb5\xd0\xb4\xd0\xbd\xd0\xb5\xd0\xb2\xd0\xb5\xd0\xba\xd0\xbe\xd0\xb2\xd1\x83\xd1\x8e \xd0\xb0\xd1\x82\xd0\xbc\xd0\xbe\xd1\x81\xd1\x84\xd0\xb5\xd1\x80\xd1\x83 \xd0\x9f\xd0\xb0\xd1\x80\xd0\xb8\xd0\xb6\xd0\xb0.\n	\n\xd0\x92\xd0\xb8\xd0\xb4 \xd0\xb8\xd0\xb7 \xd0\xbe\xd0\xba\xd0\xbd\xd0\xb0 \xd0\xb2\xd1\x8b\xd1\x85\xd0\xbe\xd0\xb4\xd0\xb8\xd0\xbb \xd0\xbd\xd0\xb0 \xd1\x81\xd1\x82\xd0\xb5\xd0\xbd\xd1\x8b \xd1\x81\xd0\xbe\xd1\x81\xd0\xb5\xd0\xb4\xd0\xbd\xd0\xb5\xd0\xb3\xd0\xbe \xd0\xb4\xd0\xbe\xd0\xbc\xd0\xb0, \xd0\xbd\xd0\xbe \xd1\x87\xd1\x82\xd0\xbe\xd0\xb1 \xd1\x81\xd0\xbe\xd0\xb2\xd1\x81\xd0\xb5\xd0\xbc \xd0\xbd\xd0\xb5 \xd0\xb1\xd1\x8b\xd0\xbb\xd0\xbe \xd0\xb3\xd1\x80\xd1\x83\xd1\x81\xd1\x82\xd0\xbd\xd0\xbe \xd0\xbd\xd0\xb0 \xd1\x81\xd1\x82\xd0\xb5\xd0\xbd\xd0\xb5 \xd0\xb1\xd1\x8b\xd0\xbb\xd0\xbe \xd0\xbd\xd0\xb0\xd1\x80\xd0\xb8\xd1\x81\xd0\xbe\xd0\xb2\xd0\xb0\xd0\xbd\xd0\xbe \xd0\xbd\xd0\xb5\xd0\xb1\xd0\xbe \xd1\x81 \xd1\x87\xd0\xb0\xd0\xb9\xd0\xba\xd0\xb0\xd0\xbc\xd0\xb8.\xd0\x94\xd0\xb0 \xd0\xb8 \xd0\xba \xd0\xb2\xd0\xb5\xd1\x87\xd0\xb5\xd1\x80\xd1\x83 \xd0\xbc\xd1\x8b \xd1\x82\xd0\xb0\xd0\xba \xd1\x83\xd1\x81\xd1\x82\xd0\xb0\xd0\xb2\xd0\xb0\xd0\xbb\xd0\xb8 \xd0\xbe\xd1\x82 \xd0\xbf\xd1\x80\xd0\xbe\xd0\xb3\xd1\x83\xd0\xbb\xd0\xbe\xd0\xba, \xd1\x87\xd1\x82\xd0\xbe \xd1\x85\xd0\xbe\xd1\x82\xd0\xb5\xd0\xbb\xd0\xbe\xd1\x81\xd1\x8c \xd0\xbe\xd1\x82\xd0\xb4\xd1\x8b\xd1\x85\xd0\xb0\xd1\x82\xd1\x8c, \xd0\xb0 \xd0\xbd\xd0\xb5 \xd1\x81\xd0\xbc\xd0\xbe\xd1\x82\xd1\x80\xd0\xb5\xd1\x82\xd1\x8c \xd0\xb2 \xd0\xbe\xd0\xba\xd0\xbd\xd0\xb0.\n	10.0
191	nl	grandhoteldechampagne	3	Parijs	fr	Iliana	Maracay Estado Aragua, Venezuela	Gezin met oudere kinderen	\nExcelente ubicaci\xc3\xb3n cerca de lo que hay que ver En Par\xc3\xads caminando llegas a todo servicio de shuttle al aeropuerto buen desayuno habitaci\xc3\xb3n peque\xc3\xb1a pero con todo lo necesario ba\xc3\xb1o limpio renovado\n	\nNada negativo\n	10.0
217	nl	grandhoteldechampagne	3	Parijs	fr	Larisa	Pskov, Rusland	Individuele reiziger	\n\xd0\xbe\xd1\x87\xd0\xb5\xd0\xbd\xd1\x8c \xd1\x85\xd0\xbe\xd1\x80\xd0\xbe\xd1\x88\xd0\xb5\xd0\xb5 \xd1\x80\xd0\xb0\xd1\x81\xd0\xbf\xd0\xbe\xd0\xbb\xd0\xbe\xd0\xb6\xd0\xb5\xd0\xbd\xd0\xb8\xd0\xb5 \xd0\xbe\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8f, \xd0\xb2\xd1\x81\xd0\xb5 \xd0\xb4\xd0\xbe\xd1\x81\xd1\x82\xd0\xbe\xd0\xbf\xd1\x80\xd0\xb8\xd0\xbc\xd0\xb5\xd1\x87\xd0\xb0\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8c\xd0\xbd\xd0\xbe\xd1\x81\xd1\x82\xd0\xb8 \xd0\xb2 \xd1\x88\xd0\xb0\xd0\xb3\xd0\xbe\xd0\xb2\xd0\xbe\xd0\xb9\n\xd0\xb4\xd0\xbe\xd1\x81\xd1\x82\xd1\x83\xd0\xbf\xd0\xbd\xd0\xbe\xd1\x81\xd1\x82\xd0\xb8. \xd0\xbf\xd0\xbe\xd1\x81\xd0\xb5\xd0\xbb\xd0\xb8\xd0\xbb\xd0\xb8 \xd1\x83\xd1\x82\xd1\x80\xd0\xbe\xd0\xbc, \xd0\xbd\xd0\xb5 \xd0\xb4\xd0\xbe\xd0\xb6\xd0\xb8\xd0\xb4\xd0\xb0\xd1\x8f\xd1\x81\xd1\x8c \xd1\x80\xd0\xb0\xd1\x81\xd1\x87\xd0\xb5\xd1\x82\xd0\xbd\xd0\xbe\xd0\xb3\xd0\xbe \xd1\x87\xd0\xb0\xd1\x81\xd0\xb0, \xd1\x87\xd1\x82\xd0\xbe \xd0\xb1\xd1\x8b\xd0\xbb\xd0\xbe\n\xd0\xbe\xd1\x87\xd0\xb5\xd0\xbd\xd1\x8c \xd0\xbf\xd1\x80\xd0\xb8\xd1\x8f\xd1\x82\xd0\xbd\xd0\xbe \xd0\xb8 \xd1\x83\xd0\xb4\xd0\xbe\xd0\xb1\xd0\xbd\xd0\xbe. \xd0\xbe\xd0\xb3\xd1\x80\xd0\xbe\xd0\xbc\xd0\xbd\xd0\xbe\xd0\xb5 \xd1\x81\xd0\xbf\xd0\xb0\xd1\x81\xd0\xb8\xd0\xb1\xd0\xbe \xd0\xbe\xd0\xbb\xd1\x8c\xd0\xb3\xd0\xb5-\xd0\xb0\xd0\xb4\xd0\xbc\xd0\xb8\xd0\xbd\xd0\xb8\xd1\x81\xd1\x82\xd1\x80\xd0\xb0\xd1\x82\xd0\xbe\xd1\x80\xd1\x83! \xd0\xbe\xd1\x87\xd0\xb5\xd0\xbd\xd1\x8c\n\xd0\xb4\xd0\xbe\xd0\xb1\xd1\x80\xd0\xbe\xd0\xb6\xd0\xb5\xd0\xbb\xd0\xb0\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8c\xd0\xbd\xd1\x8b\xd0\xb9 \xd0\xb8 \xd0\xbf\xd1\x80\xd0\xbe\xd1\x84\xd0\xb5\xd1\x81\xd1\x81\xd0\xb8\xd0\xbe\xd0\xbd\xd0\xb0\xd0\xbb\xd1\x8c\xd0\xbd\xd1\x8b\xd0\xb9 \xd1\x87\xd0\xb5\xd0\xbb\xd0\xbe\xd0\xb2\xd0\xb5\xd1\x87\xd0\xb5\xd0\xba, \xd0\xb3\xd0\xbe\xd1\x82\xd0\xbe\xd0\xb2\xd1\x8b\xd0\xb9 \xd0\xb2\xd1\x81\xd0\xb5\xd0\xb3\xd0\xb4\xd0\xb0 \xd0\xbf\xd1\x80\xd0\xb8\xd0\xb9\xd1\x82\xd0\xb8 \xd0\xbd\xd0\xb0\n\xd0\xbf\xd0\xbe\xd0\xbc\xd0\xbe\xd1\x89\xd1\x8c \xd1\x82\xd1\x83\xd1\x80\xd0\xb8\xd1\x81\xd1\x82\xd0\xb0\xd0\xbc!\n	None	10.0
227	nl	grandhoteldechampagne	3	Parijs	fr	Philippe	AVIGNON, Frankrijk	Individuele reiziger	\nune chambre tr\xc3\xa8s agr\xc3\xa9able, tranquille, spacieuse. un petit-d\xc3\xa9jeuner tr\xc3\xa8s bien garni. un accueil parfait. un h\xc3\xb4tel au charme traditionnel, un plus, dans un quartier reposant, tr\xc3\xa8s bien situ\xc3\xa9 et proche de tous les centres d&#39;int\xc3\xa9r\xc3\xaat, tant professionnels que priv\xc3\xa9s.\n	\nune chambre un peu fraiche \xc3\xa0 mon arriv\xc3\xa9e, d\xc3\xa9tail corrig\xc3\xa9 tr\xc3\xa8s rapidement par une hausse du chauffage. le printemps n&#39;\xc3\xa9tait malheureusement pas au rdv en ce d\xc3\xa9but de mois d&#39;avril.\n	10.0
237	nl	grandhoteldechampagne	3	Parijs	fr	Elena	\xd0\xa0\xd0\xbe\xd1\x81\xd1\x82\xd0\xbe\xd0\xb2-\xd0\xbd\xd0\xb0-\xd0\x94\xd0\xbe\xd0\xbd\xd1\x83, Rusland	Individuele reiziger	\n\xd0\xbe\xd1\x82\xd0\xbb\xd0\xb8\xd1\x87\xd0\xbd\xd0\xbe\xd0\xb5 \xd0\xbc\xd0\xb5\xd1\x81\xd1\x82\xd0\xbe\xd1\x80\xd0\xb0\xd1\x81\xd0\xbf\xd0\xbe\xd0\xbb\xd0\xbe\xd0\xb6\xd0\xb5\xd0\xbd\xd0\xb8\xd0\xb5-\xd0\xbe\xd1\x81\xd0\xbd\xd0\xbe\xd0\xb2\xd0\xbd\xd1\x8b\xd0\xb5 \xd0\xb4\xd0\xbe\xd1\x81\xd1\x82\xd0\xbe\xd0\xbf\xd1\x80\xd0\xb8\xd0\xbc\xd0\xb5\xd1\x87\xd0\xb0\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8c\xd0\xbd\xd0\xbe\xd1\x81\xd1\x82\xd0\xb8 \xd0\xb2 \xd1\x88\xd0\xb0\xd0\xb3\xd0\xbe\xd0\xb2\xd0\xbe\xd0\xb9\n\xd0\xb4\xd0\xbe\xd1\x81\xd1\x82\xd1\x83\xd0\xbf\xd0\xbd\xd0\xbe\xd1\x81\xd1\x82\xd0\xb8,\xd0\xbc\xd0\xb5\xd1\x82\xd1\x80\xd0\xbe \xd0\xb2 \xd0\xb4\xd0\xb2\xd1\x83\xd1\x85 \xd0\xbc\xd0\xb8\xd0\xbd\xd1\x83\xd1\x82\xd0\xb0\xd1\x85 \xd1\x85\xd0\xbe\xd0\xb4\xd1\x8c\xd0\xb1\xd1\x8b.\xd0\xbd\xd0\xbe\xd0\xbc\xd0\xb5\xd1\x80\xd0\xb0 \xd0\xbd\xd0\xb5\xd0\xb1\xd0\xbe\xd0\xbb\xd1\x8c\xd1\x88\xd0\xb8\xd0\xb5, \xd0\xbd\xd0\xbe \xd1\x83\xd1\x8e\xd1\x82\xd0\xbd\xd1\x8b\xd0\xb5 \xd0\xb8\n\xd1\x87\xd0\xb8\xd1\x81\xd1\x82\xd1\x8b\xd0\xb5.\xd0\xb2 \xd0\xbe\xd1\x82\xd0\xb5\xd0\xbb\xd0\xb5 \xd0\xbd\xd0\xb5 \xd0\xbf\xd0\xb8\xd1\x82\xd0\xb0\xd0\xbb\xd0\xb8\xd1\x81\xd1\x8c, \xd1\x82.\xd0\xba. \xd1\x80\xd1\x8f\xd0\xb4\xd0\xbe\xd0\xbc \xd0\xb4\xd0\xb5\xd1\x81\xd1\x8f\xd1\x82\xd0\xba\xd0\xb8 \xd0\xbe\xd1\x87\xd0\xb5\xd0\xbd\xd1\x8c \xd0\xbd\xd0\xb5\xd0\xbf\xd0\xbb\xd0\xbe\xd1\x85\xd0\xb8\xd1\x85 \xd0\xba\xd0\xb0\xd1\x84\xd0\xb5 \xd0\xb8\n\xd1\x81\xd1\x83\xd0\xbf\xd0\xb5\xd1\x80\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb5\xd1\x82. \xd0\xb1\xd0\xbe\xd0\xbb\xd1\x8c\xd1\x88\xd0\xbe\xd0\xb9 \xd0\xbf\xd0\xbb\xd1\x8e\xd1\x81 \xd0\xb4\xd0\xbb\xd1\x8f \xd1\x80\xd1\x83\xd1\x81\xd1\x81\xd0\xba\xd0\xbe\xd0\xb3\xd0\xbe \xd1\x82\xd1\x83\xd1\x80\xd0\xb8\xd1\x81\xd1\x82\xd0\xb0-\xd1\x80\xd1\x83\xd1\x81\xd1\x81\xd0\xba\xd0\xbe\xd0\xb3\xd0\xbe\xd0\xb2\xd0\xbe\xd1\x80\xd1\x8f\xd1\x89\xd0\xb0\xd1\x8f\n\xd0\xb0\xd0\xb4\xd0\xbc\xd0\xb8\xd0\xbd\xd0\xb8\xd1\x81\xd1\x82\xd1\x80\xd0\xb0\xd1\x82\xd0\xbe\xd1\x80 \xd0\xbe\xd0\xbb\xd1\x8c\xd0\xb3\xd0\xb0. \xd0\xb2 \xd1\x81\xd0\xbb\xd0\xb5\xd0\xb4\xd1\x83\xd1\x8e\xd1\x89\xd0\xb8\xd0\xb9 \xd1\x80\xd0\xb0\xd0\xb7 \xd0\xbe\xd1\x81\xd1\x82\xd0\xb0\xd0\xbd\xd0\xbe\xd0\xb2\xd0\xb8\xd0\xbc\xd1\x81\xd1\x8f \xd0\xb2 \xd1\x8d\xd1\x82\xd0\xbe\xd0\xbc \xd0\xbe\xd1\x82\xd0\xb5\xd0\xbb\xd0\xb5.\n	None	10.0
